batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cell_sets_per_sec,cumulative_flops,cumulative_flops_val_sync,epoch,flops_per_batch,mfu (%),step,train/gradient_norm,train_loss,val_loss
,,,,,,4.81101131439209,86345275932672.0,,0,1726905581568.0,0.8654336333274841,49,24.09069061279297,10.314544677734375,
,,,,,,5.732699871063232,172690551865344.0,,1,,1.031232476234436,99,19.275968551635742,6.65855073928833,
,,,,,,,,172690551865344.0,1,,,99,,,7.054238319396973
0.24221915006637573,16.414247512817383,0.3840646743774414,3.4130923748016357,0.11252689361572266,4.128492832183838,15.499814987182617,259035836186624.0,,1,,2.7881996631622314,149,20.199913024902344,5.072318077087402,
,,,,,,5.079999923706055,345381103730688.0,,2,,0.9138208627700806,199,27.08123016357422,4.1358256340026855,
,,,,,,,,345381103730688.0,2,,,199,,,4.345141410827637
,,,,,,6.346986293792725,431726388051968.0,,3,,0.6811701059341431,249,30.275955200195312,3.6812777519226074,
0.23941336572170258,22.814821243286133,0.35297179222106934,4.094709873199463,0.08620190620422363,4.176876068115234,4.900193214416504,518071672373248.0,,3,,0.8814761638641357,299,30.887435913085938,2.913961887359619,
,,,,,,,,518071672373248.0,3,,,299,,,3.3049216270446777
,,,,,,5.310052394866943,604416990248960.0,,4,,0.9552040696144104,349,18.011188507080078,2.260775566101074,
,,,,,,,690762207461376.0,,5,,,399,26.72833251953125,2.4950904846191406,
,,,,,,,,690762207461376.0,5,,,399,,,3.018157720565796
0.23715345561504364,14.132676124572754,0.3204936981201172,3.6016805171966553,0.08898448944091797,4.216679096221924,46.95177459716797,777107491782656.0,,5,,8.445966720581055,449,25.373199462890625,1.740396499633789,
,,,,,,5.267136096954346,863452776103936.0,,6,,0.947484016418457,499,17.14137077331543,1.6839146614074707,
,,,,,,,,863452776103936.0,6,,,499,,,2.5719971656799316
0.23279374837875366,19.45765495300293,0.3340625762939453,4.028579235076904,0.08292317390441895,4.295648097991943,60.759090423583984,949798060425216.0,,6,,10.929709434509277,549,18.159833908081055,1.5514297485351562,
,,,,,,5.479259967803955,1036143344746496.0,,7,,0.98564213514328,599,16.58968734741211,1.4712905883789062,
,,,,,,,,1036143344746496.0,7,,,599,,,2.4225568771362305
,,,,,,6.546161651611328,1122488629067776.0,,8,,0.7025459408760071,649,10.645142555236816,1.2522773742675781,
0.24025097489356995,23.00648307800293,0.34969019889831543,4.102941036224365,0.08522915840148926,4.162313938140869,6.387860298156738,1208833980497920.0,,8,,1.149086594581604,699,21.374544143676758,1.304123878479004,
,,,,,,,,1208833980497920.0,8,,,699,,,1.849331259727478
,,,,,,5.920007705688477,1295179197710336.0,,9,,1.0649265050888062,749,15.102534294128418,1.2135610580444336,
,,,,,,,1381524414922752.0,,10,,,799,9.234618186950684,1.0144739151000977,
,,,,,,,,1381524414922752.0,10,,,799,,,2.1078760623931885
0.237282857298851,15.71623706817627,0.378680944442749,4.4407806396484375,0.08527350425720215,4.21437931060791,47.19859313964844,1467869766352896.0,,10,,8.490365982055664,849,14.305643081665039,1.1335430145263672,
,,,,,,5.532686233520508,1554214983565312.0,,11,,0.995252788066864,899,11.617016792297363,0.9569053649902344,
,,,,,,,,1554214983565312.0,11,,,899,,,1.926201343536377
,,,,,,,1640560334995456.0,,12,,,949,12.165192604064941,1.0295586585998535,
0.23162153363227844,21.881420135498047,0.35504698753356934,4.143975734710693,0.0856778621673584,4.317387580871582,5.885735988616943,1726905552207872.0,,12,,1.058761477470398,999,12.63664722442627,0.9876875877380371,
,,,,,,,,1726905552207872.0,12,,,999,,,2.482358455657959
,,,,,,5.726302623748779,1813250903638016.0,,13,,1.0300816297531128,1049,9.493321418762207,1.135322093963623,
0.23535068333148956,21.67264747619629,0.37357354164123535,4.34679651260376,0.08594226837158203,4.248978614807129,13.654385566711426,1899596120850432.0,,13,,2.456232786178589,1099,9.36993408203125,0.9384918212890625,
,,,,,,,,1899596120850432.0,13,,,1099,,,2.872620105743408
,,,,,,5.473266124725342,1985941472280576.0,,14,,0.9845640063285828,1149,12.638870239257812,0.9183320999145508,
,,,,,,5.332325458526611,2072286689492992.0,,15,,0.5722748637199402,1199,11.430962562561035,0.9599533081054688,
,,,,,,,,2072286689492992.0,15,,,1199,,,2.5871145725250244
0.23826386034488678,17.44211196899414,0.36049795150756836,4.237157344818115,0.08508014678955078,4.197027683258057,46.17256546020508,2158632040923136.0,,15,,8.305797576904297,1249,15.713773727416992,1.1780996322631836,
,,,,,,6.376535415649414,2244977258135552.0,,16,,1.1470494270324707,1299,15.520983695983887,1.0008468627929688,
,,,,,,,,2244977258135552.0,16,,,1299,,,2.4401307106018066
,,,,,,,2331322475347968.0,,17,,,1349,7.1163458824157715,0.8819270133972168,
0.22246597707271576,20.005735397338867,0.3617265224456787,4.219623565673828,0.0857248306274414,4.49506950378418,4.919869899749756,2417667960995840.0,,17,,0.8850157260894775,1399,8.141319274902344,0.8736600875854492,
,,,,,,,,2417667960995840.0,17,,,1399,,,2.9618327617645264
,,,,,,5.981306552886963,2504013178208256.0,,18,,1.0759532451629639,1449,4.895817756652832,0.8357181549072266,
0.23881712555885315,21.845979690551758,0.3739337921142578,4.3915205001831055,0.08514904975891113,4.187304496765137,59.908424377441406,2590358395420672.0,,18,,10.776686668395996,1499,9.900769233703613,0.9902610778808594,
,,,,,,,,2590358395420672.0,18,,,1499,,,2.849295139312744
,,,,,,6.160728931427002,2676703612633088.0,,19,,1.1082289218902588,1549,17.860530853271484,1.0220708847045898,
